Date,Rating,Job Title,Summary,ProComments,ConComments,Status,Location,Advice to Mgmt,City,State
7/30/18,5,Anonymous Employee,"""Great place to work""",Excellent training and support system.,Hard to not take the work home sometimes,Current Employee ,,,,
9/8/18,4,Claims Service Representative,"""Geico Is A Great Company""","The company over all is very amazing. There's many different opportunities within the company. I love my work environment. The people that I work with are intelligent, helpful, stimulating, supportive, and pleasant. The company has great benefits and compensation.",It's a bit hard to obtain the other opportunities within the company. I feel as if when coming in as an entry level associate when you have the desire to pursue other areas its hard because other other opportunities that may be available requires experience in areas you haven't worked in and the areas that don't have requirements will be a cut in pay.,Current Employee ,,The needs to be sometime of program in place to employees who want to have opportunities for other areas in the company to have the opportunities to gain knowledge and opportunity to get those positions.,,
9/6/18,5,Claims Medical Billing,"""Claims/PIP/Medical Billing""",Job security. Amazing benefits. Strong HR presence. Great training.,"Although the entry level salary is lower compared to other companies, the benefits outweigh that. You have to be excellent to be promoted, so be excellent.",Former Employee ,"Buffalo, NY",In my opinion management does a great job. They are passionate about the company and value high standards and ethics. Most managers are not only just advocates for the company but for their employees as well.,Buffalo, NY
9/4/18,4,CSR-1,"""CSR""",Great discounts on at most Berkshire Hathaway companies.,"Repetitive work, tedious tasks, cookie cutter environment",Former Employee ,"Dallas, TX",,Dallas, TX
9/5/18,4,Anonymous Employee,"""Great Place to Work w/a few caveats""","Great Pay, Benefits, Gym, Company Get Together every year","Micro Manging, Better Sick Day Policies",Current Employee ,,ds,,
8/30/18,5,Sales Representative,"""Good place""","Many opportunities to move up, profit sharing, good sick and vacation time. Great people to work with.",The customers. Oh my god the customers.,Current Employee ,"Virginia Beach, VA",,Virginia Beach, VA
8/31/18,5,Anonymous Employee,"""It’s good""",Money and benefits are very good,Talking to people all day long it’s hard,Current Employee ,,Don’t focus on numbers so much it’s stressful,,
8/30/18,4,Geico MDP Program,"""Great company but has some cons""",Opportunities to rise up within the company.,"Everyone has the same way of thinking, very old school type of company, and a low cost provider...which you can see when you are in the company. But feel like it is a company you get stuck in.",Current Employee ,"Fredericksbrg, VA",,Fredericksbrg, VA
8/29/18,4,Claims Service Representative,"""Adjuster""",Nice work life balance with competitive salary,lots of young new hires who seem to have just been hired because they have a degree. These new hires make more work for the adjusters who are doing their jobs properly,Current Employee ,"Dallas, TX",Screen candidates better.,Dallas, TX
8/29/18,4,Anonymous Employee,"""Customer service rep""",Pay is descentSupportive teams,WorkloadChange is very constant,Current Employee ,,,,
8/28/18,5,Liability Claims Representative,"""Telephone Claims Representative II""",Great work life balance.Opportunity to grow and learn.Great co-workers.,Lack of flexibility and modern technology,Former Employee ,"Dallas, TX",,Dallas, TX
8/28/18,4,Anonymous Employee,"""Five Star""","Growth, Salary, Benefits, Teamwork and Flexibility",At the moment I cannot think of any.,Current Employee ,,,,
8/27/18,4,Customer Service Representative,"""CSR""","Stable and well known company, pay is decent, clean facility and environment","Terrible schedules, even though they have 8 and 10 hr. shifts they make it to where you are there throughout the bulk of the day and evening. Pay is decent until they decide to downsize a dept. and give the work to your dept. w/o pay increase. Management and supervisors are not on the same page as to what job processes to apply due to the coaching and training not consistent.",Former Employee ,"Katy, TX","Change how you grade your employees. Most customers are ignorant to how insurance works, but yet the bulk of our grade determines if they like the way we handled their claim. Most customers only know that it's the law to have Insurance. The company knows what to look for so grade employees based on them actually doing their job properly and not have the customer, who does not have a license, make that assumption based on them getting their way.",Katy, TX
8/28/18,4,Anonymous Employee,"""Data entry technician""",Great work environment for all,The pay is not too great,Current Employee ,,,,
8/26/18,4,Anonymous Employee,"""Ability to move up and out""",Upward mobilityAbility to move throughout the country,workload at times can be mismanaged,Current Employee ,,,,
8/25/18,5,Anonymous Employee,"""Claims Service Representative""",I love working at GEICO! Great benefits and a management team that wants to help you succeed.,"The job can be stressful to some people, but I have no complaints.",Current Employee ,,,,
8/24/18,5,Anonymous Employee,"""Customer Service Representative""",Great benefits and payJob advancement,High call volumeLack of overtime,Current Employee ,,Great management,,
9/6/18,3,Anonymous Employee,"""Okay place to work""",Pay and benefits were good.,Micro management. Schedules and work/ life balance,Former Employee ,,,,
8/22/18,5,Anonymous Employee,"""Intern""",Obtaining a greater understanding of the insurance industry,Short timeframe to complete projects,Former Employee ,,,,
8/20/18,5,Anonymous Employee,"""HR Specialist""",Compensation is above average for area,Hours are longer than expected,Current Employee ,,,,
8/13/18,5,Auto Damage Adjuster,"""GEICO Auto Damage""","Meeting insureds, everyday is a little different, always busy makes the day go by quickly, set your own schedule, more or less in control of daily tasks and process","We need more adjusters and fewer supervisors/managers, GEICO has been hiring non stop but it is never enough. We always seem to scramble when someone goes out on vacation or to a CAT, how is it possible w don't have enough people and yet, we don't.",Current Employee ,"Boston, MA",See my cons,Boston, MA
8/20/18,4,Anonymous Employee,"""Great company""",Earn lots of money fast !,"Management can sometimes be ridiculous, but that’s at any job",Current Employee ,"Richardson, TX",,Richardson, TX
8/18/18,5,Anonymous Employee,"""sales""","challenging job, great bonus, wonderful teammates","sales can be challenging and you have to be resilient, sometimes people say no",Current Employee ,,keep focusing on associates success,,
8/13/18,4,Anonymous Employee,"""Auto Damage Adjuster""","Excellent benefits, decent pay. Most of the time you're free to basically schedule your day how you'd like. Not too difficult to request time off if you need it.","Everything is micromanaged and based solely on numbers. It doesn't matter what the reason is behind something, if the numbers don't look good on a spreadsheet, then you're obviously bad at your job.",Current Employee ,,,,
8/31/18,3,Anonymous Employee,"""So/So""","Compensation, frequent raises if you work towards them","Favoritism, upper management, micromanagement, short breaks (30 minute lunces on 10 hour shifts)",Former Employee ,,,,
8/30/18,2,Liability Claims Representative,"""TCR1""","Good starting pay, good benefits, management and supervisors want high morale and care (at least in my location). If you're good at your job you can work basically unsupervised. Help is always there if you need it and if you make a mistake it's not the end of the world they tell you your mistake so you don't do it again.",Very hard to move to other departments that aren't claims once your in there they would rather just hire someone from the outside then transfer someone from within. Office is not in the greatest condition there's always roof panels that are severely damaged. New technology or processes they implement is usually halfassing and has good intentions but is not implemented well.,Current Employee ,,I get being a low cost provider but if you implement ideas right the first time you wont have to spend the money changing them so frequently and with the office buy quality materials so everything isint always breaking.,,
8/30/18,3,Anonymous Employee,"""Management Trainee""","Growth, guaranteed to move up in program, resources for management leadership skills","Micro managed, always a new flavor of the month that management stresses over and then they drop it the next month",Current Employee ,,,,
8/15/18,4,Emergency Road Service Dispatcher,"""Positive work environment""","Excellent benefits!!!Flexible with time off, if you have the time, or ability to shift adjust.Fun, positive work environment.","Always on the phone attached to a headset.They say a lot of room for advancement, but it’s extremely competitive, especially if it’s for an off the phone job.Metrics could be a little better.Micromanaged and always monitored.",Current Employee ,"Indianapolis, IN","Pay ERS more or have bonuses, etc.",Indianapolis, IN
8/28/18,3,Anonymous Employee,"""Liability Adjuster""",they have a great work/life balance,"minimum PTO, and to much micro managment",Current Employee ,,,,
8/29/18,3,Anonymous Employee,"""Okay""",Lots of opportunity for promotion,Low cost provider - they want to save money so much that the facilities are kind of old and unupdated.,Former Employee ,,,,
8/28/18,2,Customer Service Representative,"""Insurance agent at local office""",Gave me a footing in the insurance industry,Local offices are completely unmanaged. It’s hard to get my boss aka the owner to even show up to see us. The metrics of Geico are completely messed up it’s a total turn and burn they are all about numbers not customer service. Bad hourly rate and commission structure (although I’ve heard of office with better) and corporate/Geico internet sales is your biggest competition and will steal sales from you. If you can avoid working for a local office at Geico please do it.,Former Employee ,,,,
8/13/18,4,Anonymous Employee,"""Great""",Great leadership benefits location upward mobility,Long hours work at home,Current Employee ,,,,
8/14/18,4,Anonymous Employee,"""Mail Clerk""","Great people, great building, they keep it fun.",They don't always treat the lower rung people equally.,Former Employee ,,,,
8/26/18,3,Anonymous Employee,"""Claims adjuster""",Decent pay and the environment is joyful,Can easily get assigned excessive claims and you’re expected to finish an hour of work between calls. Customer surveys are also worth more than everything in your ratings. A customer can give you a bad service just because they wanted more money.,Current Employee ,,Reduce the impact of customer surveys.,,
8/27/18,3,Anonymous Employee,"""Bodily Injury Adjuster""","Great training, good benefits, friendly atmosphere",Unrealistic expectations. Even the most dedicated and hard working employee will fall behind. You spend hours trying to catch up in the evenings and weekends. Bad work/life balance. Strain on relationships.,Current Employee ,"Virginia Beach, VA",,Virginia Beach, VA
8/23/18,3,Anonymous Employee,"""Must be strong minded""","Pay, benefits, recognition , nice colleagues, good cafeteria food.","Verbal abuse from customers, hard to find help for answers, supervisor are not always nice.",Current Employee ,,Treat your supervisors with more respect so they treat their agents with some. And advise new hires the importance of the psychological ridiculously rude things policy holders say. Train on that so you can weed out not so strong minded reps. Not easy job but pays good.,,
8/25/18,3,Underwriter,"""Underwriter""",Friendly atmosphere. Very good benefits.,"Focuses too much on employees as a number, rather than as thinking, feeling individuals.",Former Employee ,"Dallas, TX",,Dallas, TX
8/10/18,4,Anonymous Employee,"""Positive environment""",Company cares very much about your happiness and providing positive feedback and reinforcement.,Metrics can be difficult to maintain,Current Employee ,,,,
8/9/18,4,ERS Dispatcher,"""Emergency Road Service Call Center F/T tp P/T""","Great benefits, 401K, yearly profit sharing bonus, unlimited advancement potential, paid schooling for advancement, cross training in to different departments, ability to work as many hours as you will take, willing to work with you on scheduling, PTO, VDO, sick days",Advancement potential is based on your numbers. Entry level is a call center. Have to have stamina to stay on phone for hours at a time. Limited mobility as you are closely monitored as to how often to get off phone. Making work connections limited to small sections; hard to make work connections due to immobility around the office.,Former Employee ,"Carmel, IN","None really. Understand the algorithm for business, just not for everyone",Carmel, IN
8/6/18,4,Anonymous Employee,"""N/a""","Room for advancement, grade promotions","Management with selfish behaviors, only there to benefit themselves",Current Employee ,,Pay your dedicated associates what they deserve and focus on internal associate support,,
8/6/18,4,Anonymous Employee,"""UX/UI Designer""",Great people. Work was enjoyable.,The area is a little expensive for the pay.,Current Employee ,,,,
8/20/18,3,TA2 Claims Adjuster,"""Bodily injury adjuster""","A great place to start a career, gain experience, recommend to look elsewhere for higher salary.","Overlooks experience only cares about their matrix number for promotions. You could be with the company 18 years, in multiple departments, and have "" good numbers"". Geico will promote a person with less knowledge, less tenure, but .01 higher number ""according to the matrix"".",Current Employee ,,,,
8/20/18,3,Claims,"""Claims Adjuster""",Wonderful benefits! Some great people!,Can be stressful at times.,Current Employee ,"Virginia Beach, VA",Not all supervisors should be supervisors.,Virginia Beach, VA
8/20/18,3,Anonymous Employee,"""Geico""",Pays very well and flexible hours,They can change the hours you work very short notice,Former Employee ,,Change is great because people tend to get bored or tired of the job,,
8/21/18,3,Anonymous Employee,"""Pay and opportunities at this company""",The pay was very nice.,No opportunities to move up.,Former Employee ,,,,
8/19/18,3,CSR-sales-mortgage Associate,"""Mortgage Processor""","Great benefits, usually nice people to work with",the work load sometimes runs you down,Current Employee ,,,,
8/20/18,3,Anonymous Employee,"""Auto Damage Adjuster""","Very flexible schedule, you make your own once you get the hang of it",You live and die by customer service surveys,Current Employee ,"Miami, FL",,Miami, FL
8/17/18,3,Management,"""Pay is Good, Work is Challenging""","Pay, Advancement, Challenging, Rewarding at Times, Fun","Exhausting, Self Driven is a Must Have",Current Employee ,"Buffalo, NY",,Buffalo, NY
7/23/18,4,Anonymous Employee,"""Auto Damage Adjuster""",*Great environment*Great Pay and Benefits,"*Test are crucial. I made it to the second training (of 3) in VA and it was difficult. Even though I barely flunked out 83 and you need an 85 to pass, I felt good about my job and what I was going to be able to do, but NOPE they bought me and ticket and flew me home that day....1 week before graduation. Talk about hurt....",Former Employee ,,"I understand testing, but crash courses and test(s) *sometimes 2-3 a DAY* can be overwhelming and does not truly display one's understanding especially if they have test anxiety like me. LOVED the job....sad to leave",,
8/18/18,2,Anonymous Employee,"""Insurance agent""",Good pay and easy to get into,Poor management does not care about employees,Current Employee ,,,,
8/16/18,2,Anonymous Employee,"""Customer Service Representative""",they have really good Benefits,"culture is so dull and negative, work life balance, management, not advancement for everyone",Current Employee ,"Indianapolis, IN",listen to the employees when they have input dont just fire them or threaten to fire them.,Indianapolis, IN
8/15/18,3,Anonymous Employee,"""Claims""","Great pay,benefits. Can’t really say anything else","management, hours, calls,team work, cooperation from management",Former Employee ,,,,
9/5/18,1,Senior Trial Attorney,"""GEICO staff counsel""","Profit sharing, benefits, experience. Real chances to move up in company from entry level positions such as customer service or claims","Pay was far below standard for attorneys. Turnover for attorneys is constant because they are overworked, underpaid and company views attorneys as a replaceable commodity. I would not recommend GEICO as more than an entry level position for a more junior attorney to get experience and then move on.",Former Employee ,"Atlanta, GA",Raise attorney salaries in line with competitors. Treat attorneys like the professionals they are instead of replaceable commodities. Staff counsel middle and upper management is extremely negative and should be replaced with people who encourage performance rather than instill fear and negative attitudes.,Atlanta, GA
7/31/18,4,Service Supervisor,"""Good company!""","Benefits, Management, Profit Sharing, Overtime","Call center environment, low cost provider - crappy chairs and facilities",Former Employee ,"Tucson, AZ",,Tucson, AZ
9/5/18,1,Auto Damage Adjuster,"""Terrible""",Pay Company Vehicle Cafeteria Human Resources will be your best friend,Work Life BalanceCheapTools to do job,Former Employee ,,,,
8/11/18,3,Cs Representative,"""that was good company to work""","I had very good co-workers, good benefit","too much over time, the work schedule changed so often",Former Employee ,"New York, NY",,New York, NY
7/28/18,4,Senior Systems Engineer,"""Maybe not for everybody, but pretty good overall.""","Great company to work for, good people, decent pay and benefits, plenty of opportunity for growth. I had some of the most rewarding experiences of my career working there.",Constant changes to the organizational chart that produce little or no tangible results and only create a sense of chaos and despair. Extremely poor Work/Life Balance in the the IT areas.,Former Employee ,"Chevy Chase, MD",Focus more on actually changing business processes and less on reorganizing folks every nine months. It doesn't matter who's reporting to who if you're still doing things the same old way.,Chevy Chase, MD
7/26/18,4,Anonymous Employee,"""Stress""","Stability, string work ethic, good supervision","Level of stress, I work far from home",Current Employee ,,Listen to employee needs,,
7/25/18,4,Anonymous Employee,"""Regional sales consultant""","Micromanagement, stressful goals, difficult customers and the regions","Good pay good company, good benefits if you can handle the rest of the stuff",Former Employee ,,,,
7/24/18,5,Anonymous Employee,"""Sales""",Money is great management is great,To make great money in sales you have to make bonus every month,Current Employee ,,,,
7/25/18,5,Anonymous Employee,"""Insurance Sales""","Good pay, benefits, supervisors.",Split days off gets tiring pretty quickly.,Former Employee ,"Washington, DC",,Washington, DC
8/8/18,2,Customer Service Representative,"""Customer Service Representative""","They tried to make working at a call center more enjoyable, but they never discovered how while I was there. The pay is better than average, and profit sharing was awesome. (I should mention that my last year at GEICO was 2012. The drop-down only went back to 2014, so I selected it.)","There were metrics for everything. This resulted in the job being highly micro-managed. We were allowed less than 7 minutes to assist the customer. (They wanted your maximum handling time to be around 6 minutes and 40 seconds.) Management was not interested in truly offering customer service and resolving problems for customers., they just wanted to ""get them off the phone"". The reason for this was each regional office, known as a ""profit center"", would receive profit sharing based on how many calls that the center handled, so the director of the regional office, would be highly motivated to push for more calls per hour. I liked big profit sharing check myself, but I really believed that customers were not getting the service that they should. I was at GEICO over 10 years, and many of us who had been there that long would observe the floor the week before profit sharing came out, and joke about how many would be missing once the checks had been distributed, as few could handle the micro-management more than 2 or 3 years.",Former Employee ,"Lakeland, FL","It is complicated to try to offer advise to a company that has been so clearly successful as GEICO, and since it has been several years since I worked there, things may no longer be the same. Mainly, I would recommend that they keep the call monitoring process as simple as possible. It had been simplified about 2 years prior to me leaving GEICO, but by the time I left they had added so much to what was required on a call that it was more convoluted than ever, The flows for some of the calls took almost 4 minutes just to read them, and we were expected to execute the flow AND take care of the reason that the customer called too in less than 7 minutes. It made it difficult for those of us who were truly trying to help resolve the problem for the customer. (l recall that I would get 2 or 3 calls a day where the customer had called back because the previous counselor just wanted to get them off the phone, and few told me that when they called and got the same person again, they would hang up on them, as they knew that they had no interest in helping them.)",Lakeland, FL
7/24/18,4,Anonymous Employee,"""Good company to start a career with""",The work/life balance was great,Pay could be more competitive,Former Employee ,,,,
7/24/18,4,Anonymous Employee,"""Great Place""",Very competitive pricing.Great Marketing (which brings inbound sales).,"Has ""First Call Closure"" which is an artificial metric that can kill your bonus. Basically, certain co-workers will manipulate the metric in their favor by avoiding inbound calls (and other tactics), which leads to false calibrations by management. Outside of this (manipulation of a stat), everything else is great.",Current Employee ,,"Either get rid of the FCC metric, or else learn to accurately measure it.",,
8/5/18,3,Systems Engineer,"""Great entry to mid level company but very stressful""","Great benefits (health, life, dental, vacation, PTO)Management is very open and often helpfulMovement to just about any part of the company if you are qualifiedGood culture",Very stressfulTechnology is lagging behind and outdatedOutdated IT policiesCost orientedVery high workload,Current Employee ,"Chevy Chase, MD","Salary structure should be addressed, many skilled and experienced staff members are underpaid and leaving. Promotion policy needs to be addressed immediately, specifically single grade level promotions. Many staff members find themselves in a far lower grade level than their peers while performing the same or higher level of work and its causing dissatisfaction.",Chevy Chase, MD
8/28/18,1,Claims Service Representative,"""CSR""","Profit sharing, Stability, Floating holidays",Not being able to promote they want to hire external people that have no clue to what they’re doing to do a job that you’ve been working your butt off to be able to promote to. All about the customer even if they’re complete idiots. Terrible place because of so hard to promote. You can give someone the worst news they’ve ever heard because of COMPANY POLICY and they’ll give you a poor survey and GEICO thinks it YOUR FAULT you got a poor survey for just doing what you were told. Work somewhere else where your success is based of YOU not someone that doesn’t have insurance coverage because they don’t know anything about insurance other than they have to have it in order to drive in America. Being graded based off of someone getting their way or not sucks.,Current Employee ,"Macon, GA","Promote people based off of THEIR performance. DON’T LET CUSTOMERS DO IT FOR YOU, THEY RATE YOU ON WHETHER OR NOT THEY GET THEIR WAY.",Macon, GA
7/23/18,4,Inside Sales Representative,"""Sales Representative""",Great payGood benefitsDecent management,Strict metricsWeird hoursHigh call volume,Former Employee ,"Fredericksburg, VA",,Fredericksburg, VA
7/24/18,4,Anonymous Employee,"""Employee""","Benefits , Hours are sometimes good, Beneofts are great!","Stressful, they don’t work with your schedule for school.",Current Employee ,,Work with employees,,
8/6/18,2,Anonymous Employee,"""Auto damage adjuster""","Pay is pretty good, yeah","Workload is pretty heavy, yeah",Current Employee ,,,,
8/4/18,2,Anonymous Employee,"""Product Strategy Analyst""","Coworkers are all recent graduates, so everyone’s a ton of fun.",No room for upward mobility,Current Employee ,,Take a look at your managers,,
7/18/18,5,Anonymous Employee,"""Room for Growth""",PayBenefitsChallengeGrowth potentialInsurance License provided,Lengthy probation periodConstant change of supervisors for new hires,Former Employee ,,,,
7/18/18,5,Anonymous Employee,"""Great company to work for""",There is a lot of growth potential,Depends on the department you're in,Current Employee ,,,,
8/23/18,1,Anonymous Employee,"""this place sucks and will ruin you if you let it""","stable pay, this is used to get you comfortable",communicationdramathe customers are also terrible,Former Employee ,,replace them,,
7/18/18,4,Anonymous Employee,"""Customer Service/ Call Center Agent""",Pay was goodMultiple pay raisesGood benefitsMature Environment,Schedules suckNot as easy as they portray it is to promote to different departmentsRequirements to meet stats are at times unattainable,Former Employee ,"Richardson, TX",,Richardson, TX
7/19/18,4,Customer Service Representative,"""Customer service agent""",The people are amazing. We work in teams and each team is really like a family. The training and feedback you get helps you to be successful. They do a great job at listening to their agents opinions and complaints. Opportunities are endless as well.,It’s a huge company so sometimes you feel like you are just a number however if I have any issues I speak up and for the most part I feel heard. Parking can suck depending on your shift. After work you will feel drained everything is fast paced.,Current Employee ,"Fredericksburg, VA",Keep listening to your associates because we are on the front line. You guys do a great job at making improvements and keeping morale up.,Fredericksburg, VA
8/1/18,2,Anonymous Employee,"""Sales Suoervisor""",Pay is good but you defibitely work for it,"Work/Life balance, Corporate Environment",Current Employee ,,,,
7/31/18,3,Customer Service Representative,"""Great company overall""",Pays okay. Cafe and tim hortons on site. Profit sharing,Very unfair promotion processes most people get stuck in entry level,Current Employee ,"Getzville, NY",Very unrealistic goals structure not easy to advance,Getzville, NY
7/16/18,4,Anonymous Employee,"""CSR""",Excellent pay and atmosphere,It’s strictly corporate. You’re no longer you. You’re more of just a employee number who earns and meets and the numbers.,Former Employee ,,Get to know the employees.,,
7/30/18,2,Anonymous Employee,"""Customer Service""","Compensation is great, Attempting to create good cutlutre","Management and Flexibility, communication is non-existent when getting to upper levels",Former Employee ,,,,
7/15/18,4,Anonymous Employee,"""Good Company""",Fun environment to be in. Lots of young people.,Salaries are a bit low,Current Employee ,,,,
7/14/18,5,Anonymous Employee,"""Service Agent""","Great management and supervisors, excellent compensation and culture of encouragement.","Unreasonable goals, especially for metrics like connecting car insurance customers with other services.",Current Employee ,,,,
7/29/18,2,Customer Service Representative,"""Don’t do it""",Money but they are taking away night diff which was a 15% shift differential if you work past 10,Management is horrible. They treat employees like they are all disposable. && they play favorites.,Former Employee ,"Lakeland, FL","Stop micro managing, be better to your employees",Lakeland, FL
7/25/18,2,Anonymous Employee,"""Claims rep""",They provide competitive pay and benefits. With multiple chances for advancement.,"They are the job that made me realize money isn’t everything. You are hit or miss with management. The work load is insane, which makes your mandatory goals hard to reach.",Current Employee ,,,,
7/27/18,3,Anonymous Employee,"""Micromanaged""","Nice coworkers, lots of events to keep the every day not so mundane, upper management is actually approachable","Technology compared to other call centers is severely lacking. They advertise the approach to improving your stats as ""feedback"" when you're actually just being micromanaged.",Former Employee ,,Look at what other call centers are doing and implement some procedures you don't have to make people more successful.,,
8/18/18,1,Customer Service Representative,"""I would never recommend anyone to work here""",They offer decent health insurance,"Stressful work environment, favoritism, micromanaging",Former Employee ,"Lakeland, FL",The managers in the customer service department make this place miserable,Lakeland, FL
7/12/18,4,Staff Attorney,"""Decent work-life balance""",Lots of trial experience & actionGreat benefits/401 KExcellent work-life balanceProfit sharingUnderstanding/empathetic immediate supervisorsGreat workplace atmosphere,No paid maternity leaveCompensation not competitive,Current Employee ,"New Orleans, LA","Provide more competitive salaries and some type of paid maternity leave; raises/promotions are based on your annual earned salary - so women who are out for 8 weeks to have a baby are not only unpaid, that's 8 weeks not earning money on which raises are based, so it hurts them have kids. But overall, work-life balance is optimal, managing attorneys are available to help anytime, but they don't micromanage. I get plenty of courtroom action, which is great. The benefits are decent but you have to work here long enough to take advantage of the best perks. Managing attorneys take care of their attorneys and have their backs, which is a great feeling. Support staff could be handled better.",New Orleans, LA
7/25/18,3,Anonymous Employee,"""N/A""","Pay scale, overall job experience","Hours, no work life balance",Former Employee ,,,,
7/25/18,3,Anonymous Employee,"""Decent job""","Great benefits, yearly raises, bonuses","Micro-management, hard to reach quotas",Former Employee ,,,,
7/26/18,3,Anonymous Employee,"""TA1 claims examiners""",Profit SharingSome openings for over timeGood trainingGood first job,Over workedunder paidlimited vacation timelimited sick timeevery easy to get behind in work,Former Employee ,"Woodbury, NY",,Woodbury, NY
7/10/18,5,Anonymous Employee,"""Great place to work""",Full benefits and great pay,Hard to maintain a work life balance,Current Employee ,,,,
7/25/18,2,Professional Insurance Agent,"""Started out great ended horribly""",Pay is decent bonus is okay. Benefits are fair.,"Each region is different. If you really like your job don’t transfer chances are you won’t like the new region. Management is parent/child which is very unprofessional. Everything is unprofessional. This place is an HR nightmare. Sexual relationships are freely talked about on the floor. In training you are encouraged to date within the company. Many people tell about meeting their spouses there. Public displays of affection are allowed on the floor. Dress code is not enforced so many dress like they are going to the club not work. Sales representatives are encouraged to be loud, so loud, the customers remark about it. It is very distracting and difficult to sell because of it. Supervisors and managers are very power trippy. Many supervisors will give you a different answer to the same question and the reviewer of the call could have a different opinion and rate you down even when you are doing what your Sup said. People are allowed to discuss your sexuality, ask you about it, and condemn you for it without ramifications. Again HR nightmare. If you can work under these conditions go for it. If you prefer a professional experience do not bother, you will be disappointed and appalled. Short term disability is not offered which costs the company many good employees. If you become pregnant you use your vacation and sick time if you have any or you go without pay. In this day and age it’s appalling and feels like discrimination against women. Women are the most frequent users of STD. If you want to attract and keep women in this demographic offer what enriches their life.",Former Employee ,"Lakeland, FL","Pay attention to what is happening on the floor. Do not let supervisors treat the reps like insolent children. Stop encouraging dating and hooks up within the company. Everyone needs more training on acceptable behavior, HR needs to monitor management more closely. Offer short term disability like a normal company.",Lakeland, FL
7/25/18,2,Legal Secretary,"""Not worth your time""","Managing attorney was great, profit sharing is great if you can last 5 years there","Poor pay, lousy co-workers, favoritism by the two supervisors, 8.5 hr day (37.5 paid hours/wk)",Current Employee ,"Marlton, NJ",,Marlton, NJ
7/10/18,4,Anonymous Employee,"""Great place to work""",Managers are fair. Very professionally managed company.,Very bureaucratic and processes take a long time to complete,Current Employee ,,,,
8/14/18,1,Sales Representative,"""Sales""",You receive a Stable check,Horrible environment to work in,Former Employee ,"Woodbury, NY",More communication between associates and management,Woodbury, NY
7/10/18,4,Anonymous Employee,"""Great work life balance""","stable, supportive, understanding, growth opportunity",Pay less than market value,Current Employee ,"Chevy Chase, MD",We don’t always need an “everyone gets a trophy” environment. Promote quicker for rising talent and don’t promote someone simply because of tenure.. everyone getting a promotion at the one year and two year mark is laughable. We all know some people don’t deserve it.,Chevy Chase, MD
7/22/18,3,Anonymous Employee,"""Great atmosphere and company culture""",PayBenefitsJob securityFriendly environment,"Very stressful, not the job but the policyholders dealt with on a daily basis..especially weekends. Calls are back to back with not a second in between to even catch you breathe. Policyholders can be super rude and just unrealistic in their demands.",Current Employee ,,,,
